Abbeville General Hospital|118 North Hospital DriveAbbeville, Louisiana 70510-0580|http://www.abbevillegeneral.com

Abbott Northwestern Hospital|800 E. 28th StreetMinneapolis, Minnesota 55407-3799|http://www.allinahealth.org/Abbott-Northwestern-Hospital

Abilene Regional Medical Center|6250 US Highway 83Abilene, Texas 79606-5299|

Abington Health Lansdale Hospital|100 Medical Campus DriveLansdale, Pennsylvania 19446-1200|http://abingtonhealth.org

Abington Memorial Hospital|1200 Old York RoadAbington, Pennsylvania 19001-3720|http://abingtonhealth.org

Abrazo Arrowhead Campus|18701 North 67th AvenueGlendale, Arizona 85308-5722|https://www.abrazohealth.com/

Abrazo Central Campus|2000 West Bethany Home RoadPhoenix, Arizona 85015-2443|https://www.abrazohealth.com/our-locations/abrazo-central-campus://

Abrazo Scottsdale Campus|3929 East Bell RoadPhoenix, Arizona 85032-2196|https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus://

Abrazo West Campus|13677 West McDowell RoadGoodyear, Arizona 85395|https://www.abrazohealth.com/our-locations/abrazo-west-campus

Acadia General Hospital (American Legion Hospital)|1305 Crowley Rayne HighwayCrowley, Louisiana 70526-8202|http://lafayettegeneral.com

Acadian Medical Center|3501 US-190Eunice, Louisiana 70535|

Addison Gilbert Hospital|298 Washington StreetGloucester, Massachusetts 01930|http://www.beverlyhospital.org

Adena Regional Medical Center|272 Hospital RoadChillicothe, Ohio 45601-9031|http://adena.org

Adirondack Medical Center - Saranac Lake|2233 State Route 86Saranac Lake, New York 12983|

AdventHealth Altamonte Springs|601 East Altamonte DriveAltamonte Springs, Florida 32701|http://www.AdventHealth.com

AdventHealth Apopka|2100 Ocoee Apopka RoadApopka, Florida 32703|http://www.AdventHealth.com

AdventHealth Carrollwood|7171 North Dale Mabry HighwayTampa, Florida 33614-2699|http://adventhealth.com

AdventHealth Celebration|400 Celebration PlaceCelebration, Florida 34747|http://www.AdventHealth.com

AdventHealth Central Texas|2201 S CLEAR CREEK RDKilleen, Texas 76549-4110|https://www.adventhealth.com/hospital/adventhealth-central-texas

AdventHealth Dade City|13100 Fort King RoadDade City, Florida 33525-5294|https://www.adventhealth.com/hospital/adventhealth-dade-city

AdventHealth Daytona Beach|301 Memorial Medical ParkwayDaytona Beach, Florida 32117|https://www.adventhealth.com/hospital/adventhealth-daytona-beach

AdventHealth DeLand|701 W. Plymouth AvenueDeLand, Florida 32720|http://adventhealth.com/deland

AdventHealth East Orlando|7727 Lake Underhill RoadOrlando, Florida 32822|http://www.AdventHealth.com

AdventHealth Fish Memorial|1055 Saxon BoulevardOrange City, Florida 32763-8468|https://www.adventhealth.com/hospital/adventhealth-fish-memorial

AdventHealth Gordon|1035 Red Bud RoadCalhoun, Georgia 30701-2082|http://AdventHealthGordon.com

AdventHealth Hendersonville|100 Hospital DriveHendersonville, North Carolina 28792-5272|https://www.adventhealth.com/hospital/adventhealth-hendersonville

AdventHealth Kissimmee|2450 North Orange Blossom TrailKissimmee, Florida 34744|http://www.AdventHealth.com

AdventHealth Lake Placid|1210 US Hwy 27NLake Placid, Florida 33852|http://adventhealth.com/lake-placid

AdventHealth Lake Wales|410 S. 11th StreetLake Wales, Florida 33853-4256|https://www.adventhealth.com/hospital/adventhealth-lake-wales://

AdventHealth New Smyrna Beach|401 Palmetto StreetNew Smyrna Beach, Florida 32168-7399|http://www.AdventHealth.com/hospital/AdventHealth-New_smyrna-Beach

AdventHealth North Pinellas|1395 South Pinellas AvenueTarpon Springs, Florida 34689-3721|https://www.adventhealth.com/hospital/adventhealth-north-pinellas

AdventHealth Ocala|1500 SW 1st AvenueOcala, Florida 34471-4059|https://www.adventhealth.com/hospital/adventhealth-ocala

AdventHealth Orlando|601 East Rollins StreetOrlando, Florida 32803|http://www.AdventHealth.com

AdventHealth Ottawa|1301 S. Main StreetOttawa, Kansas 66067-3598|http://www.adventhealth.com

AdventHealth Palm Coast|60 Memorial Medical ParkwayPalm Coast, Florida 32164|https://www.adventhealth.com/hospital/adventhealth-palm-coast

AdventHealth Sebring|4200 Sun N Lake BlvdSebring, Florida 33872-1986|http://adventhealth.com/sebring

AdventHealth Shawnee Mission|9100 W. 74th StreetShawnee Mission, Kansas 66204-4004|http://adventhealth.com

AdventHealth Tampa|3100 East Fletcher AvenueTampa, Florida 33613-4688|http://adventhealth.com/tampa

AdventHealth Waterman|1000 Waterman WayTavares, Florida 32778-5266|https://www.adventhealth.com/hospital/adventhealth-waterman

AdventHealth Wesley Chapel|2600 BRUCE B DOWNS BLVDWESLEY CHAPEL, Florida 33544|http://www.adventhealth.com/hospital/adventheath-wesley-chapel

AdventHealth Winter Park|200 North Lakemont AvenueWinter Park, Florida 32792|http://www.AdventHealth.com

AdventHealth Zephyrhills|7050 Gall BlvdZephyrhills, Florida 33541-1399|https://www.adventhealth.com/hospital/adventhealth-zephyrhills

Adventhealth Heart of Florida|40100 US-27Davenport, Florida 33837|https://www.adventhealth.com/hospital/adventhealth-heart-floridahttp://

Adventist Health - Bakersfield|2615 Chester AvenueBakersfield, California 93301-2006|https://www.adventisthealth.org/bakersfield/

Adventist Health Castle|640 Ulukahiki StreetKailua, Hawaii 96734-4498|https://www.adventisthealth.org/castle/

Adventist Health Glendale|1509 Wilson TerraceGlendale, California 91206-4098|https://www.adventisthealth.org/glendale/

Adventist Health Lodi Memorial|975 S. Fairmont AvenueLodi, California 95240-5179|http://www.adventisthealth.org

Adventist Health Portland Medical Center|10123 SE Market StPortland, Oregon 97216|http://www.adventisthealth.org/portland

Adventist Health Simi Valley|2975 N. Sycamore DriveSimi Valley, California 93065-1201|https://www.adventisthealth.org/simi-valley/

Adventist Health Sonora|1000 Greenley RoadSonora, California 95370|http://www.adventisthealth.org/sonora-regional/pages/about-us/quality.aspx

Adventist Health St. Helena|10 Woodland RoadSt. Helena, California 94574-9554|http://www.adventisthealth.org/st-helena/

Adventist Health Ukiah Valley|275 Hospital DriveUkiah, California 95482-4531|http://uvmc.org

Adventist Health White Memorial|1720 Cesar E. Chavez AvenueLos Angeles, California 90033-2481|https://www.adventisthealth.org/white-memorial/

Adventist Health and Rideout|726 4th StreetMarysville, California 95901-5600|http://www.adventisthealth.org/rideout

Adventist HealthCare Fort Washington Medical Center|11711 Livingston RoadFort Washington, Maryland 20744-5164|https://www.fortwashingtonmc.org/

Adventist HealthCare Shady Grove Medical Center|9901 Medical Center DriveRockville, Maryland 20850-3395|http://adventisthealthcare.com

Adventist HealthCare White Oak Medical Center|11890 Healing WaySilver Spring, Maryland 20904|http://adventisthealthcare.com

Adventist Medical Center Hanford|115 Mall DriveHanford, California 93230-3513|http://www.adventisthealth.org/centralvalley/pages/about-us/quality.apsx

Adventist Medical Center Selma|1141 Rose AvenueSelma, California 93662|http://www.adventisthealth.org/centralvalley/pages/about-us/quality.aspx

Advocate Christ Medical Center|4440 95th StreetOak Lawn, Illinois 60453-2699|

Advocate Condell Medical Center|801 S. Milwaukee AvenueLibertyville, Illinois 60048-3199|

Advocate Good Samaritan Hospital|3815 Highland AvenueDowners Grove, Illinois 60515-1590|

Advocate Good Shepherd Hospital|450 IL-22Barrington, Illinois 60010-1901|

Advocate Illinois Masonic Medical Center|836 W. Wellington AvenueChicago, Illinois 60657-5193|

Advocate Lutheran General Hospital|1775 Dempster StreetPark Ridge, Illinois 60068-1174|

Advocate Sherman Hospital|1425 N. Randall RoadElgin, Illinois 60123-2300|

Advocate South Suburban Hospital|17800 S. Kedzie AvenueHazel Crest, Illinois 60429-0989|

Advocate Trinity Hospital|2320 E. 93rd StreetChicago, Illinois 60617-9984|

Aiken Regional Medical Centers|302 University ParkwayAiken, South Carolina 29801-2757|http://aikenregional.com

Alamance Regional Medical Center|1240 Huffman Mill RoadBurlington, North Carolina 27216-0202|http://www.conehealth.com

Alameda Hospital|2070 Clinton AvenueAlameda, California 94501-4397|http://alamedahealthsystem.org

Alaska Regional Hospital|2801 DEBARR ROADAnchorage, Alaska 99508-2997|http://alaskaregional.com

Albany Medical Center|43 New Scotland AvenueAlbany, New York 12208-3478|

Alhambra Hospital Medical Center|100 S. Raymond AvenueAlhambra, California 91801-3199|http://www.alhambrahospital.com/http://

Alice Hyde Medical Center|133 Park StreetMalone, New York 12953-0729|

Allegheny General Hospital|320 East North AvenuePittsburgh, Pennsylvania 15212|https://www.ahn.org/locations/allegheny-general-hospital

Allegheny Valley Hospital|1301 Carlisle StreetNatrona Heights, Pennsylvania 15065-1152|https://www.ahn.org/locations/allegheny-valley-hospital

Allen Hospital|1825 Logan AvenueWaterloo, Iowa 50703-1916|http://unitypoint.org/waterloo

Alliance Community Hospital|200 E. State StreetAlliance, Ohio 44601-4399|https://aultmanalliance.org

AllianceHealth Durant|1800 University BoulevardDurant, Oklahoma 74701-3006|https://www.alliancehealthdurant.com/

AllianceHealth Midwest|2825 Parklawn DriveMidwest City, Oklahoma 73110-4258|https://www.alliancehealthmidwest.com/

AllianceHealth Ponca City|1900 North 14th StreetPonca City, Oklahoma 74601-2099|http://www.alliancehealthponcacity.com

Alomere Health|111 17th Avenue E.Alexandria, Minnesota 56308-3798|

Alta Bates Summit Medical Center|350 Hawthorne AvenueOakland, California 94609|

Alta View Hospital|9660 South 1300 EastSandy, Utah 84094-3793|https://intermountainhealthcare.org/locations/alta-view-hospital/

Alta Vista Regional Hospital|104 Legion DriveLas Vegas, New Mexico 87701|

Alton Memorial Hospital|1 Memorial DriveAlton, Illinois 62002-6722|

Altru Health System|1200 South Columbia RoadGrand Forks, North Dakota 58201-4032|https://www.altru.org/

Alvarado Hospital Medical Center|6655 Alvarado RoadSan Diego, California 92120-5296|http://www.alvaradohospital.com

American Fork Hospital|170 North 1100 EastAmerican Fork, Utah 84003-2096|http://intermountainhealthcare.org/locations/american-fork-hospital/

AnMed Health Medical Center|800 N. Fant StreetAnderson, South Carolina 29621-5793|https://anmedhealth.org/

Anaheim Global Medical Center|1025 S. Anaheim BoulevardAnaheim, California 92805-5806|http://anaheimglobalmedicalcenter.com

Andalusia Health|849 S. Three Notch StreetAndalusia, Alabama 36420-5325|http://andalusiahealth.com

Anderson Hospital|6800 Illinois Route 162Maryville, Illinois 62062-8500|

Anderson Regional Medical Center - North|2124 14th StreetMeridian, Mississippi 39301-4040|

Anna Jaques Hospital|25 Highland AvenueNewburyport, Massachusetts 01950-3894|http://www.ajh.org

Anne Arundel Medical Center|2001 Medical ParkwayAnnapolis, Maryland 21401-3019|http://www.aahs.org

Annie Penn Hospital|618 S Main StReidsville, North Carolina 27320|http://www.conehealth.com

Antelope Valley Hospital|1600 W. Avenue JLancaster, California 93534-2894|http://www.avhospital.org

Arkansas Methodist Medical Center|900 West KingshighwayParagould, Arkansas 72451|

Arnot Ogden Medical Center|600 Roe AvenueElmira, New York 14905-1629|

Arrowhead Regional Medical Center|400 N. Pepper AvenueColton, California 92324-1819|http://www.arrowheadmedcenter.org

Arroyo Grande Community Hospital|345 S. Halcyon RoadArroyo Grande, California 93420-3899|http://www.dignityhealth.org/central-coast/locations/arroyo-grande

Asante Ashland Community Hospital|280 MAPLE STREETAshland, Oregon 97520-1593|http://www.asante.org

Asante Rogue Regional Medical Center|2825 E BARNETT RDMedford, Oregon 97504-8332|http://www.asante.org

Asante Three Rivers Medical Center|500 SW Ramsey AveGrants Pass, Oregon 97527|http://www.asante.org

Ascension All Saints Hospital - Spring Street Campus|3801 Spring StreetRacine, Wisconsin 53405-1690|

Ascension Borgess Hospital|1521 Gull RoadKalamazoo, Michigan 49048-1640|https://healthcare.ascension.org/Locations/Michigan/MIKAL/Kalamazoo-Ascension-Borgess-Hospital

Ascension Columbia St Mary's Hospital Milwaukee|2301 N. Lake Dr.Milwaukee, Wisconsin 53211|

Ascension Columbia St Mary's Hospital Ozaukee|13111 N. Port Washington RoadMequon, Wisconsin 53097-2416|

Ascension Genesys Hospital|One Genesys ParkwayGrand Blanc, Michigan 48439-8066|https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital

Ascension Macomb-Oakland Hospital, Madison Heights Campus|27351 Dequindre RoadMadison Heights, Michigan 48071-3499|https://healthcare.ascension.org/Locations/Michigan/MIDET/Madison-Heights-Ascension-MacombOakland-Hospital-Madison-Heights-Campu

Ascension Macomb-Oakland Hospital, Warren Campus|11800 Twelve Mile RdWarren, Michigan 48093-3494|https://healthcare.ascension.org/Locations/Michigan/MIDET/Warren-Ascension-MacombOakland-Hospital-Warren-Campus

Ascension NE Wisconsin - Mercy Campus|500 S. Oakwood RoadOshkosh, Wisconsin 54904-7944|

Ascension NE Wisconsin - St Elizabeth Campus|1506 S. Oneida StreetAppleton, Wisconsin 54915-1397|

Ascension Providence|6901 Medical ParkwayWaco, Texas 76712-7998|http://www.providence.net

Ascension Providence Hospital, Novi Campus|47601 Grand River AvenueNovi, Michigan 48374|https://healthcare.ascension.org/Locations/Michigan/MIDET/Novi-Ascension-Providence-Hospital-Novi-Campus

Ascension Providence Hospital, Southfield Campus|16001 W. Nine Mile RoadSouthfield, Michigan 48075-4854|https://healthcare.ascension.org/Locations/Michigan/MIDET/Southfield-Ascension-Providence-Hospital-Southfield-Campus

Ascension Providence Rochester Hospital|1101 W. University DriveRochester, Michigan 48307-1831|https://healthcare.ascension.org/Locations/Michigan/MIROC/Rochester-Ascension-Providence-Rochester-Hospital

Ascension SE Wisconsin Hospital - Elmbrook Campus|19333 W. North AvenueBrookfield, Wisconsin 53045-4198|

Ascension SE Wisconsin Hospital - Franklin Campus|10101 South 27th StreetFranklin, Wisconsin 53132-7209|

Ascension SE Wisconsin Hospital - St. Joseph Campus|5000 W Chambers StMilwaukee, Wisconsin 53210-9988|

Ascension Sacred Heart Hospital Bay|615 N Bonita AvePanama City, Florida 32401-3600|http://ascension.org

Ascension Sacred Heart Pensacola|5151 N Ninth AvePensacola, Florida 32504-8795|https://healthcare.ascension.org/Locations/Florida/FLPEN/Pensacola-Sacred-Heart-Hospital-Pensacola

Ascension Saint Thomas Rutherford Hospital|1700 Medical Center ParkwayMurfreesboro, Tennessee 37129|http://www.sthealth.com/locations/saint-thomas-rutherford-hospital

Ascension Saint Thomas West Hospital|4220 Harding RoadNashville, Tennessee 37205-2095|http://www.sthealth.com/locations/saint-thomas-west-hospital

Ascension Seton Hays|6001 Kyle ParkwayKyle, Texas 78640-6112|https://www.seton.net/locations/seton-medical-center-hays/

Ascension Seton Medical Center Austin|1201 West 38th StreetAustin, Texas 78705-1006|https://www.seton.net/locations/smc/

Ascension Seton Northwest|11113 Research BoulevardAustin, Texas 78759-5236|https://www.seton.net/locations/northwest/

Ascension Seton Williamson|201 Seton ParkwayRound Rock, Texas 78665|https://www.seton.net/locations/seton-medical-center-williamson/

Ascension St John Hospital|22101 Moross DrDetroit, Michigan 48236-2172|https://healthcare.ascension.org/Locations/Michigan/MIDET/Detroit-Ascension-St-John-Hospital

Ascension St Joseph Hospital|200 Hemlock StreetTawas City, Michigan 48763-9360|

Ascension St Mary's Hospital|800 S. Washington AvenueSaginaw, Michigan 48601-2524|https://healthcare.ascension.org/Locations/Michigan/MISAG/Saginaw-Ascension-St-Marys-Hospital

Ascension St Michael's Hospital|900 Illinois AvenueStevens Point, Wisconsin 54481-3196|

Ascension St. Clare's Hospital|3400 Ministry ParkwayWeston, Wisconsin 54476|

Ascension St. Francis Hospital|3237 South 16th StreetMilwaukee, Wisconsin 53215-4592|

Ascension St. John Jane Phillips Medical Center|3500 SE Frank Phillips BlvdBartlesville, Oklahoma 74006-2411|https://healthcare.ascension.org/Locations/Oklahoma/OKTUL/Bartlesville-Ascension-St-John-Jane-Phillips?_ga=2.231968792.66

Ascension St. John Medical Center|1923 South Utica AvenueTulsa, Oklahoma 74104-6502|https://healthcare.ascension.org/Locations/Oklahoma/OKTUL/Tulsa-Ascension-St-John-Medical-Center?_ga=2.84455577.149997839/

Ascension St. Mary's Hospital|2251 North Shore DriveRhinelander, Wisconsin 54501-3998|

Ascension St. Vincent Evansville|3700 Washington AvenueEvansville, Indiana 47750-0002|https://healthcare.ascension.org/Locations/Indiana/INEVA/Evansville-Ascension-St-Vincent-Evansville

Ascension St. Vincent Fishers Hospital|13861 Olio RoadFishers, Indiana 46037-3487|http://Ascension.org

Ascension St. Vincent's Riverside|1 Shircliff WayJacksonville, Florida 32204-2982|https://healthcare.ascension.org/Locations/Florida/FLJAC/Jacksonville-Ascension-St-Vincents-Riverside

Ascension Via Christi Hospital Pittsburg|1 Mt. Carmel WayPittsburg, Kansas 66762-6643|http://www.viachristi.org

Ashley Regional Medical Center|150 West 100 NorthVernal, Utah 84078-2036|http://www.ashleyregional.com

Ashtabula County Medical Center|2420 Lake AvenueAshtabula, Ohio 44004-4954|

Aspirus Riverview Hospital|410 Dewey StreetWisconsin Rapids, Wisconsin 54494-4715|

Aspirus Wausau Hospital|333 Pine Ridge BoulevardWausau, Wisconsin 54401-4187|

Athens-Limestone Hospital|700 W. Market StreetAthens, Alabama 35611-2457|

Atlanta Medical Center|303 Parkway Drive NEAtlanta, Georgia 30312-1212|https://www.wellstar.org/locations/pages/wellstar-atlanta-medical-center.aspx

Atlanta Medical Center South Campus|1170 Cleveland AvenueEast Point, Georgia 30344-3665|https://www.wellstar.org/locations/pages/wellstar-atlanta-medical-center-south.aspx

Atlantic General Hospital|9733 Healthway DriveBerlin, Maryland 21811-1155|

Atlanticare Regional Medical Center - City Campus|1925 Pacific AvenueAtlantic City, New Jersey 08401-6713|http://www.atlanticare.org

Atlanticare Regional Medical Center-Mainland Campus|65 W. Jimmie Leeds RoadPomona, New Jersey 08240-9102|http://atlanticare.org

Atrium Health Cabarrus|920 Church StreetConcord, North Carolina 28025-2983|https://atriumhealth.org/locations/detail/atrium-health-cabarrus

Atrium Health Cleveland|201 East Grover StShelby, North Carolina 28150|https://atriumhealth.org/locations/detail/atrium-health-cleveland

Atrium Health Kings Mountain|706 West King StKings Mountain, North Carolina 28086-2708|https://atriumhealth.org/locations/detail/atrium-health-kings-mountain

Atrium Health Lincoln|433 McAlister RdLincolnton, North Carolina 28092|https://atriumhealth.org/locations/detail/atrium-health-lincoln

Atrium Health Pineville|10628 Park RdCharlotte, North Carolina 28210|https://atriumhealth.org/locations/atrium-health-pineville

Atrium Health Stanly|301 Yadkin StreetAlbemarle, North Carolina 28001-3448|https://atriumhealth.org/locations/atrium-health-stanly

Atrium Health Union|600 Hospital DriveMonroe, North Carolina 28112-6000|https://atriumhealth.org/locations/detail/atrium-health-union

Atrium Health University City|8800 N. Tryon StreetCharlotte, North Carolina 28262-8415|https://atriumhealth.org/locations/atrium-health-university-city

Atrium Medical Center|1 Medical Center DriveMiddletown, Ohio 45005-1066|https://www.premierhealth.com/locations/hospitals/atrium-medical-center

Auburn Community Hospital|17 Lansing StreetAuburn, New York 13021-1943|http://www.auburnhospital.org

Augusta Health|78 Medical Center DriveFishersville, Virginia 22939-2332|http://www.augustahealth.com

Augusta University Medical Center|1120 15th StreetAugusta, Georgia 30912-5563|http://www.augustahealth.org

Aultman Hospital|2600 Sixth Street SWCanton, Ohio 44710-1702|http://aultman.com

Aurelia Osborn Fox Memorial Hospital|1 Norton AvenueOneonta, New York 13820-2629|https://www.aofoxhospital.org

Aurora BayCare Medical Center|2845 Greenbrier RoadGreen Bay, Wisconsin 54311|

Aurora Lakeland Medical Center|W3985 County Road NNElkhorn, Wisconsin 53121-4389|

Aurora Medical Center - Manitowoc County|5000 Memorial DriveTwo Rivers, Wisconsin 54241-2399|

Aurora Medical Center Bay Area|3003 University AveMarinette, Wisconsin 54143-4242|

Aurora Medical Center Burlington|252 McHenry StreetBurlington, Wisconsin 53105-1828|

Aurora Medical Center Grafton|975 PORT WASHINGTON ROADGRAFTON, Wisconsin 53024|

Aurora Medical Center Summit|36500 Aurora DriveSummit, Wisconsin 53066-4899|

Aurora Medical Center of Kenosha|10400 S. 75th StreetKenosha, Wisconsin 53142|

Aurora Medical Center of Oshkosh|855 N. Westhaven DriveOshkosh, Wisconsin 54904|

Aurora Medical Center of Washington County|1032 E. Sumner StreetHartford, Wisconsin 53027-1698|

Aurora Sheboygan Memorial Medical Center|2629 N. 7th StreetSheboygan, Wisconsin 53083-4998|

Aurora Sinai Medical Center|945 N. 12th StreetMilwaukee, Wisconsin 53233-1337|

Aurora St Luke's Medical Center of Aurora Health Care Metro, Inc|2900 W. Oklahoma AvenueMilwaukee, Wisconsin 53215-4330|

Aurora St. Luke's South Shore|5900 S. Lake DriveCudahy, Wisconsin 53110|

Aurora West Allis Medical Center|8901 W. Lincoln AvenueWest Allis, Wisconsin 53227-2409|

Aventura Hospital and Medical Center|20900 Biscayne BoulevardAventura, Florida 33180-1407|http://www.aventurahospital.com

Avera McKennan Hospital and University Health Center|1325 South Cliff AvenueSioux Falls, South Dakota 57105-1007|

Avera Queen of Peace Hospital|525 North Foster StreetMitchell, South Dakota 57301|

Avera Sacred Heart Hospital|501 Summit AvenueYankton, South Dakota 57078-3899|

Avera St Mary's Hospital|801 East Sioux AvenuePierre, South Dakota 57501-3313|

Avera St. Luke's Hospital|305 South State StreetAberdeen, South Dakota 57401|

BANNER - UNIVERSITY MEDICAL CENTER PHOENIX|1111 EAST MCDOWELL RDPHOENIX, Arizona 85006-2666|http://www.bannerhealth.com

BANNER BAYWOOD MEDICAL CENTER|6644 E. BAYWOOD AVEMESA, Arizona 85206-1797|http://www.bannerhealth.com

BANNER BOSWELL MEDICAL CENTER|10401 W THUNDERBIRD BLVDSUN CITY, Arizona 85351-3004|http://www.bannerhealth.com

BANNER DEL E WEBB MEDICAL CENTER|14502 WEST MEEKER BLVDSUN CITY WEST, Arizona 85375-5299|http://www.bannerhealth.com

BANNER DESERT MEDICAL CENTER|1400 SOUTH DOBSON ROADMESA, Arizona 85202-9879|http://www.bannerhealth.com

BANNER ESTRELLA MEDICAL CENTER|9201 WEST THOMAS ROADPHOENIX, Arizona 85037-3332|http://www.bannerhealth.com

BANNER GATEWAY MEDICAL CENTER|1900 NORTH HIGLEY ROADGILBERT, Arizona 85234|http://www.bannerhealth.com

BANNER THUNDERBIRD MEDICAL CENTER|5555 WEST THUNDERBIRD ROADGLENDALE, Arizona 85306-4696|http://www.bannerhealth.com

BLAKE MEDICAL CENTER|2020 59TH ST WBRADENTON, Florida 34209-4669|http://blakemedicalcenter.com

BMHMC  DBA  LI COMMUNITY HOSPITAL|101 Hospital RoadPatchogue, New York 11772-4897|http://licommunityhospital.org/

BRANDON REGIONAL HOSPITAL|119 OAKFIELD DRBRANDON, Florida 33511-5799|http://brandonregionalhosptial.com

Bailey Medical Center LLC|10502 N. 110th East AveOwasso, Oklahoma 74055|http://baileymedicalcenter.com

Bakersfield Heart Hospital|3001 Sillect AvenueBakersfield, California 93308-6337|http://www.bakersfieldhearthospital.com

Bakersfield Memorial Hospital|420 34th StreetBakersfield, California 93301-2237|http://www.bakersfieldmemorial.org

Banner Casa Grande Medical Center|1800 East Florence BoulevardCasa Grande, Arizona 85122|http://www.bannerhealth.com

Banner Ironwood Medical Center|37000 N Gantzel RdQueen Creek, Arizona 85140|http://www.bannerhealth.com

Banner University Medical Center-South|2800 East Ajo WayTucson, Arizona 85713-6289|http://www.bannerhealth.com

Banner University Medical Center-Tucson|1501 N Campbell AveTucson, Arizona 85724|http://www.bannerhealth.com

Baptist Beaumont Hospital of Southeast Texas|3080 College StBeaumont, Texas 77701-4689|https://bhset.net

Baptist Health - Fort Smith|1001 Towson AvenueFort Smith, Arkansas 72901|https://www.baptist-health.com/location/baptist-health-fort-smith/

Baptist Health Corbin|1 Trillium WayCorbin, Kentucky 40701-8420|http://baptisthealth.com

Baptist Health Floyd|1850 State StreetNew Albany, Indiana 47150-4997|https://www.baptisthealth.com/floyd/

Baptist Health Hardin|913 North Dixie AvenueElizabethtown, Kentucky 42701|http://www.hmh.net

Baptist Health La Grange|1025 New Moody LaneLa Grange, Kentucky 40031-9154|https://www.baptisthealth.com/lagrange/

Baptist Health Lexington|1740 Nicholasville RoadLexington, Kentucky 40503-1499|https://www.baptisthealth.com/lexington

Baptist Health Louisville|4000 Kresge WayLouisville, Kentucky 40207-4676|http://www.baptisthealth.com/louisville

Baptist Health Madisonville|900 Hospital DriveMadisonville, Kentucky 42431-1694|http://www.BaptistHealth.com/Madisonville

Baptist Health Medical Center - Conway|1555 Exchange AvenueConway, Arkansas 72032-7824|

Baptist Health Medical Center - North Little Rock|3333 Springhill DriveNorth Little Rock, Arkansas 72117-2922|

Baptist Health Medical Center-Little Rock|9601 Baptist Health DriveLittle Rock, Arkansas 72205|

Baptist Health Paducah|2501 Kentucky AvenuePaducah, Kentucky 42003|https://www.baptisthealth.com/paducah/

Baptist Health Richmond|801 Eastern BypassRichmond, Kentucky 40475-2405|http://www.baptisthealthrichmond.com

